,x,y,topic
0,7.4907312,6.0467834,-1
1,6.0328765,6.903949,41
2,0.6504055,2.2498844,67
3,14.188144,-0.19144139,104
4,11.551686,0.8279277,-1
5,10.000843,1.2145739,44
6,1.9715226,11.605363,39
7,16.192678,-14.790555,4
8,6.392456,27.597424,0
9,27.23348,10.331618,1
10,12.455172,0.45815542,-1
11,12.268634,1.820627,109
12,16.192732,-14.735081,4
13,6.292057,27.224293,0
14,10.918073,1.6791204,-1
15,10.898175,-2.4221013,10
16,26.998186,10.4776325,1
17,9.84959,0.248741,9
18,6.8062015,11.789864,79
19,6.2461286,27.688448,0
20,3.8362,3.8899994,117
21,16.221825,-14.798323,4
22,6.311988,27.33525,0
23,26.721436,10.487362,1
24,-7.7256355,2.4281147,5
25,8.15607,3.4796834,91
26,7.5717187,6.7363915,55
27,6.6263466,3.1248112,29
28,7.6328773,6.6755357,55
29,10.639836,1.0488154,133
30,11.540666,0.7077818,95
31,8.395909,-0.69395524,16
32,6.624151,4.930851,-1
33,7.901729,3.9108174,-1
34,5.7865596,3.225821,28
35,7.077373,6.1011753,-1
36,3.8238447,3.8873224,117
37,12.015558,7.145199,-1
38,11.328605,-2.565681,-1
39,16.200865,-14.775242,4
40,6.0944223,27.599855,0
41,27.015554,10.591727,1
42,7.1188865,5.3981247,62
43,6.0964785,-4.018008,65
44,22.675245,3.6337595,3
45,9.350217,3.7007234,26
46,11.652924,-1.11464,48
47,16.15825,-14.737553,4
48,6.4584374,27.451084,0
49,9.341676,3.7175179,26
50,26.812128,10.353312,1
51,7.849238,6.1865644,43
52,12.801129,0.26070717,37
53,7.1041865,5.829253,-1
54,7.1495924,3.609861,53
55,9.27175,3.7840354,26
56,6.100723,3.713585,121
57,6.9388413,2.920813,-1
58,12.1617155,7.9101887,69
59,7.277375,5.830087,-1
60,7.470092,6.743815,55
61,9.752607,1.0508703,70
62,26.933651,10.218421,1
63,6.3808217,27.383701,0
64,7.0771413,5.277257,-1
65,7.5951567,7.2774034,74
66,8.34007,5.100591,84
67,6.6745,3.5988183,40
68,18.748886,-6.7345524,2
69,10.145584,2.9303775,135
70,10.704952,1.8620912,-1
71,6.791125,3.218497,-1
72,8.497577,4.796694,106
73,11.798997,-0.23015681,-1
74,-11.912281,7.447503,31
75,-11.912274,7.447482,61
76,-7.6700625,2.4458687,5
77,16.208055,-14.781941,4
78,6.2320747,27.352484,0
79,27.26333,10.332089,1
80,8.198053,6.174205,-1
81,12.401517,7.332341,-1
82,11.987702,-0.16227278,-1
83,12.246449,-0.24062864,-1
84,16.171574,-14.773885,4
85,6.3819118,27.148138,0
86,-4.1153097,7.286875,35
87,27.279808,10.374014,1
88,13.852808,0.29270732,-1
89,11.538851,0.41362178,128
90,0.54439074,-7.8106217,6
91,11.880556,0.5920792,32
92,12.737365,-0.17472103,94
93,16.157932,-14.737428,4
94,6.5226116,27.518505,0
95,26.894655,10.153064,1
96,7.490076,3.5354445,-1
97,8.021899,5.473006,8
98,8.898892,-1.1031235,122
99,11.794219,7.536762,141
100,8.518036,-0.59050053,16
101,8.2979765,5.3105307,-1
102,6.9970527,2.9590907,17
103,13.034909,-0.7091439,72
104,16.19472,-14.767705,4
105,6.5354896,27.42608,0
106,27.124987,10.570155,1
107,6.034547,6.9080386,41
108,7.8832955,4.8077583,65
109,7.097469,6.7076354,-1
110,11.375903,0.07449477,50
111,12.172205,1.7429123,-1
112,6.910189,6.8676686,27
113,-4.5798326,-8.435141,35
114,-0.6306976,16.981256,11
115,9.017065,10.94099,58
116,0.4552083,2.154299,-1
117,9.017131,10.941175,58
118,-4.0413246,7.351761,14
119,22.608448,3.5996363,3
120,-7.7195106,2.391297,5
121,-7.728434,2.4252417,5
122,22.816313,3.7391028,3
123,18.840754,-6.8546777,2
124,11.872539,0.63951415,32
125,6.983644,4.4245157,68
126,26.812277,10.338719,1
127,27.010895,10.314696,1
128,27.141617,10.550197,1
129,26.919813,10.561381,1
130,27.133059,10.328219,1
131,27.055805,10.572434,1
132,7.261494,4.694109,-1
133,26.925917,10.559417,1
134,27.039762,10.183365,1
135,26.907108,10.469255,1
136,27.050224,10.166788,1
137,10.063283,4.805351,73
138,16.194311,-14.759745,4
139,6.323088,27.612406,0
140,26.839407,10.560569,1
141,11.743819,-0.45501432,-1
142,7.712089,5.052506,113
143,11.791256,7.5258894,141
144,5.5565033,3.3096132,96
145,-7.7094345,2.4379995,5
146,10.68405,-2.2426827,100
147,10.931814,-2.217636,100
148,9.006982,10.950674,58
149,22.640198,3.823623,3
150,22.691528,3.696399,3
151,-1.9523376,5.5712075,-1
152,10.859874,-3.0251968,10
153,22.750696,3.6959395,3
154,-4.578477,-8.437505,35
155,-4.5784416,-8.437574,35
156,6.4786053,4.331565,108
157,6.7707944,5.9232473,-1
158,7.306154,6.130864,132
